invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,is_cancellation,line_total
563546,85159B,"WHITE TEA,COFFEE,SUGAR JARS",6,"2011-08-17 12:24:00",1.95,16729,"United Kingdom",0,11.7
579145,23580,"SNACK TRAY HAPPY FOREST  ",1,"2011-11-28 13:13:00",1.95,14597,"United Kingdom",0,1.95
580729,23504,"PLAYING CARDS JUBILEE UNION JACK",1,"2011-12-05 17:24:00",2.46,,"United Kingdom",0,2.46
580221,21212,"PACK OF 72 RETROSPOT CAKE CASES",24,"2011-12-02 12:13:00",0.55,14092,"United Kingdom",0,13.200000000000001
563730,22212,"FOUR HOOK  WHITE LOVEBIRDS",6,"2011-08-18 17:43:00",2.1,14221,"United Kingdom",0,12.600000000000001
563347,22178,"VICTORIAN GLASS HANGING T-LIGHT",12,"2011-08-15 13:46:00",1.25,16961,"United Kingdom",0,15.0
543056,22744,"MAKE YOUR OWN MONSOON CARD KIT",6,"2011-02-03 10:47:00",2.95,12471,Germany,0,17.700000000000003
575852,85036B,"CHOCOLATE 1 WICK MORRIS BOX CANDLE",6,"2011-11-11 12:17:00",1.25,17238,"United Kingdom",0,7.5
579491,23503,"PLAYING CARDS KEEP CALM & CARRY ON",7,"2011-11-29 15:23:00",1.25,14723,"United Kingdom",0,8.75
536876,84536A,"ENGLISH ROSE NOTEBOOK A7 SIZE",1,"2010-12-03 11:36:00",0.85,,"United Kingdom",0,0.85
559338,22907,"PACK OF 20 NAPKINS PANTRY DESIGN",1,"2011-07-07 16:30:00",1.63,,"United Kingdom",0,1.63
543190,20983,"12 PENCILS TALL TUBE RED RETROSPOT",120,"2011-02-04 11:52:00",0.85,17226,"United Kingdom",0,102.0
539579,20681,"PINK POLKADOT CHILDRENS UMBRELLA",2,"2010-12-20 12:51:00",3.25,16713,"United Kingdom",0,6.5
549577,22027,"TEA PARTY BIRTHDAY CARD",12,"2011-04-11 08:16:00",0.42,14286,"United Kingdom",0,5.04
575972,21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",4,"2011-11-13 13:01:00",2.55,14499,"United Kingdom",0,10.2
575499,23026,"DRAWER KNOB VINTAGE GLASS STAR",12,"2011-11-10 09:56:00",2.08,16003,"United Kingdom",0,24.96
540352,84951B,"SET OF 4 BLACK LOVEBIRD COASTERS",2,"2011-01-06 14:27:00",1.66,,"United Kingdom",0,3.32
553747,85053,"FRENCH ENAMEL CANDLEHOLDER",6,"2011-05-19 09:47:00",2.1,13627,"United Kingdom",0,12.600000000000001
577476,21172,"PARTY METAL SIGN ",12,"2011-11-20 11:31:00",1.45,12540,Spain,0,17.4
574034,22755,"SMALL PURPLE BABUSHKA NOTEBOOK ",2,"2011-11-02 12:45:00",0.85,17841,"United Kingdom",0,1.7
572921,84970L,"SINGLE HEART ZINC T-LIGHT HOLDER",12,"2011-10-26 16:57:00",1.25,15993,"United Kingdom",0,15.0
570430,21200,"MULTICOLOUR HONEYCOMB PAPER GARLAND",1,"2011-10-10 14:25:00",1.65,15886,"United Kingdom",0,1.65
550496,21791,"VINTAGE HEADS AND TAILS CARD GAME ",6,"2011-04-18 15:05:00",2.46,,"United Kingdom",0,14.76
550470,22084,"PAPER CHAIN KIT EMPIRE",5,"2011-04-18 13:49:00",5.79,,"United Kingdom",0,28.95
565917,84968F,"SET OF 16 VINTAGE SKY BLUE CUTLERY",1,"2011-09-07 16:15:00",24.96,,"United Kingdom",0,24.96
564739,23251,"VINTAGE RED ENAMEL TRIM MUG ",3,"2011-08-28 14:28:00",1.25,16931,"United Kingdom",0,3.75
567180,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",8,"2011-09-18 14:56:00",6.95,17802,"United Kingdom",0,55.6
546136,35971,"ROSE FOLKART HEART DECORATIONS",1,"2011-03-09 16:32:00",2.46,,"United Kingdom",0,2.46
556201,22196,"SMALL HEART MEASURING SPOONS",24,"2011-06-09 13:01:00",0.85,12347,Iceland,0,20.4
575733,22551,"PLASTERS IN TIN SPACEBOY",12,"2011-11-11 08:33:00",1.65,13810,Germany,0,19.799999999999997
569246,21154,"RED RETROSPOT OVEN GLOVE ",3,"2011-10-03 09:57:00",2.46,14096,"United Kingdom",0,7.38
538311,21928,"JUMBO BAG SCANDINAVIAN PAISLEY",10,"2010-12-10 13:48:00",1.95,12785,Portugal,0,19.5
573585,22068,"BLACK PIRATE TREASURE CHEST",1,"2011-10-31 14:41:00",3.29,,"United Kingdom",0,3.29
569469,22991,"GIRAFFE WOODEN RULER",5,"2011-10-04 12:22:00",1.95,16360,"United Kingdom",0,9.75
558877,22676,"FRENCH BLUE METAL DOOR SIGN 1",1,"2011-07-04 13:50:00",1.25,17841,"United Kingdom",0,1.25
547668,22343,"PARTY PIZZA DISH RED RETROSPOT",18,"2011-03-24 13:28:00",0.85,14071,"United Kingdom",0,15.299999999999999
540014,20772,"GARDEN PATH JOURNAL",1,"2011-01-04 11:34:00",2.55,14606,"United Kingdom",0,2.55
568049,23266,"SET OF 3 WOODEN STOCKING DECORATION",2,"2011-09-23 12:38:00",1.25,17841,"United Kingdom",0,2.5
554809,23060,"HEART BEADED TRELLIS DECORATION",6,"2011-05-26 13:13:00",2.08,16838,"United Kingdom",0,12.48
577540,48173C,"DOORMAT BLACK FLOCK ",1,"2011-11-20 14:28:00",8.25,14984,"United Kingdom",0,8.25
557763,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,"2011-06-22 14:10:00",0.55,17669,"United Kingdom",0,13.200000000000001
567457,22950,"36 DOILIES VINTAGE CHRISTMAS",12,"2011-09-20 12:18:00",1.45,14164,"United Kingdom",0,17.4
566041,23308,"SET OF 60 VINTAGE LEAF CAKE CASES ",24,"2011-09-08 13:48:00",0.55,13814,Germany,0,13.200000000000001
558028,82001S,"VINYL RECORD FRAME SILVER",4,"2011-06-24 11:39:00",3.75,15128,"United Kingdom",0,15.0
563951,21340,"CLASSIC METAL BIRDCAGE PLANT HOLDER",8,"2011-08-22 10:42:00",9.95,16839,"United Kingdom",0,79.6
581361,22500,"SET OF 2 TINS JARDIN DE PROVENCE",6,"2011-12-08 12:31:00",1.25,17522,"United Kingdom",0,7.5
554630,85016,"SET OF 6 VINTAGE NOTELETS KIT",2,"2011-05-25 11:34:00",0.65,13268,"United Kingdom",0,1.3
559052,20654,"FIRST CLASS LUGGAGE TAG ",3,"2011-07-05 16:53:00",0.83,,"United Kingdom",0,2.4899999999999998
