stock_code_a,description_a,stock_code_b,description_b,times_bought_together
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,825
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,767
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,724
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,680
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED ,640
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,640
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,632
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,606
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,598
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,585
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,579
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN ,559
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI DESIGN ,556
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,554
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,552
23300,GARDENERS KNEELING PAD CUP OF TEA ,23301,GARDENERS KNEELING PAD KEEP CALM ,546
23199,JUMBO BAG APPLES,85099B,JUMBO BAG RED RETROSPOT,546
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,544
22629,SPACEBOY LUNCH BOX ,22630,DOLLY GIRL LUNCH BOX,538
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,536
20712,JUMBO BAG WOODLAND ANIMALS,85099B,JUMBO BAG RED RETROSPOT,535
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,526
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER ,525
21931,JUMBO STORAGE BAG SUKI,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,524
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,522
20724,RED RETROSPOT CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,522
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,518
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI DESIGN ,515
21931,JUMBO STORAGE BAG SUKI,22386,JUMBO BAG PINK POLKADOT,515
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN ,512
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,509
20724,RED RETROSPOT CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,507
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,505
20719,WOODLAND CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,505
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,502
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,493
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,487
20725,LUNCH BAG RED RETROSPOT,23206,LUNCH BAG APPLE DESIGN,487
20723,STRAWBERRY CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,486
85099B,JUMBO BAG RED RETROSPOT,DOT,DOTCOM POSTAGE,485
23298,SPOTTY BUNTING,47566,PARTY BUNTING,483
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN ,483
