month,customer_type,line_total
2010-12,New,570422.73
2011-01,Existing,275734.47
2011-01,New,292366.84
2011-02,Existing,288384.33
2011-02,New,157700.59
2011-03,Existing,394462.09
2011-03,New,199619.67
2011-04,Existing,346565.28
2011-04,New,121509.95
2011-05,Existing,553615.85
2011-05,New,122886.62
2011-06,Existing,524445.47
2011-06,New,135414.8
2011-07,Existing,525102.5
2011-07,New,73068.22
2011-08,Existing,563918.87
2011-08,New,79601.14
2011-09,Existing,795956.11
2011-09,New,154734.09
2011-10,Existing,862217.26
2011-10,New,173425.19
2011-11,Existing,1021074.28
2011-11,New,135131.33
2011-12,Existing,490184.98
2011-12,New,27005.46
